Timestamp;Do you know what Astroquery is?;What do you use Astroquery for?;How long did it take you to learn to use Astroquery (aproximately)?;Have you used Astroquery in a research project;What databases do you most often connect to using Astroquery?;Do you know of other databases that are not yet available through Astroquery?;Which ones?;Do you consider the documentation to be insufficient for connecting to specific databases using Astroquery?;Which databases?;What kind of user are you?;Have you had any trouble using Astroquery?;Please describe your issue using Astroquery here;Have you used Astroquery?
7/18/2019 17:04:09;No;;;;;;;;;;;;
7/18/2019 17:08:56;No;;;;;;;;;;;;
7/18/2019 17:09:43;Yes;To retrieve Gaia data. ;more than a month;Yes;Gaia;No;;Yes;;Graduate Student;Yes;Lack of documentation ;
7/18/2019 17:11:46;No;;;;;;;;;;;;
7/18/2019 17:13:05;No;;;;;;;;;;;;
7/18/2019 17:14:50;Yes;Astrometry on the search for asteroids in PANSTARRS images ;more than a month;Yes;Simbad/Tycho,Hipparcos ;No;;No;;Staff Researcher/Professor;No;;
7/18/2019 17:21:56;Yes;Search and use data from different caralogues.;Between one and two weeks;Yes;Splatalogue, Irsa;No;;No;;Graduate Student;Yes;The number of rows possible per query and acuracy in the outcome. ;
7/18/2019 17:30:06;No;;;;;;;;;;;;
7/18/2019 17:37:00;No;;;;;;;;;;;;
7/18/2019 17:39:44;No;;;;;;;;;;;;
7/18/2019 18:25:28;Yes;retrieving data;more than a month;Yes;vizier;Yes;https://github.com/astropy/astroquery/issues?q=is%3Aopen+is%3Aissue+label%3A%22New+Service%22;No;;Staff Researcher/Professor;Yes;https://github.com/astropy/astroquery/issues;
7/18/2019 18:35:30;No;;;;;;;;;;;;
7/18/2019 18:36:20;No;;;;;;;;;;;;
7/18/2019 18:36:43;No;;;;;;;;;;;;
7/18/2019 19:04:20;No;;;;;;;;;;;;
7/18/2019 19:08:08;No;;;;;;;;;;;;
7/18/2019 19:35:11;No;;;;;;;;;;;;
7/18/2019 19:40:53;No;;;;;;;;;;;;
7/18/2019 21:34:06;No;;;;;;;;;;;;
7/18/2019 21:36:52;Yes;cross-matching optical survey catalogs against multiwavelength archives;Less than a week;Yes;ALMA, NRAO, MAST;No;;No;;Graduate Student;Yes;crossmatching against a large catalog is slow, and I have not figured out how to avoid doing it in serial;
7/18/2019 22:27:09;Yes;Finding and downloading archival data, searching catalogues ;Between one and two weeks;Yes;Vizier, CADC, ESO, MAST;No;;Yes;xMatch, Vizier, CADC;Postdoc;Yes;Often options that exist in the services APIs are not supported by astroquery. Some services (e.g. CADC) do not have consistent interfaces, or require very different approaches for accessing public and proprietary data. ;
7/18/2019 22:51:36;No;;;;;;;;;;;;
7/19/2019 1:25:03;No;;;;;;;;;;;;
7/19/2019 1:30:22;No;;;;;;;;;;;;
7/19/2019 2:19:52;No;;;;;;;;;;;;
